crop,issue_id,issue_name,category,causal_agent,temp_min_c,temp_opt_c,temp_max_c,rh_min_pct,rh_opt_pct,leaf_wetness_hrs,rain_trigger,soil_ph_min,soil_ph_max,soil_drainage,soil_texture,ndvi_signal,ndmi_signal,ndre_signal,growth_stage,consecutive_dry_days_trigger,consecutive_wet_days_trigger,temp_stress_threshold_c,soil_ec_threshold_ds_m,perfect_temp_min_c,perfect_temp_max_c,perfect_rh_min_pct,perfect_rh_max_pct,perfect_soil_ph_min,perfect_soil_ph_max,perfect_soil_drainage,perfect_rainfall_mm_week,severity,ndvi_threshold,ndmi_threshold,ndre_threshold,rule_logic,notes,recommendation,urgency
Generic,GEN_DROUGHT_MILD,Mild Drought Stress,Drought,Water deficit,,,,,,,<5mm/week,,,Any,Any,NDVI_declining,NDMI_low,NDRE_moderate,Any,7.0,,,,,,40.0,70.0,,,Well,15-25,Medium,-0.05,-0.1,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 7}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.1}]}",7+ dry days + NDMI<-0.1. Sandy soils worsen. ET0>precip confirms.,Irrigate within the next 3 days — check soil moisture at 10cm depth,Within 3 days
Generic,GEN_DROUGHT_SEVERE,Severe Drought Stress,Drought,Water deficit,,,,,,,<2mm/14d,,,Any,Sandy,NDVI_severe_decline,NDMI_very_low,NDRE_low,Any,14.0,,,,,,40.0,70.0,,,Well,15-25,High,-0.15,-0.25,0.15,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 14}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.25}]}",14+ dry days. Wilting and stomatal closure. Yield loss begins.,Irrigate immediately — crop is at yield-loss threshold,Today
Generic,GEN_WATERLOGGING,Waterlogging / Root Anoxia,Waterlogging,Excess soil water,,,,,,,>20mm/day,,,Poor,Clay,NDVI_decline,NDWI_high,NDRE_low,Any,,5.0,,,,,40.0,80.0,,,Well,15-25,High,-0.1,0.05,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_wet_days"", ""op"": "">="", ""value"": 5}, {""field"": ""ndwi"", ""op"": "">"", ""value"": 0.05}, {""field"": ""soil_drainage"", ""op"": ""in"", ""value"": [""Poor""]}]}",Root anoxia in 24-48hrs. Clay + poor drainage worst.,Inspect and clear drainage channels; avoid any irrigation until soil drains,Within 24 hours
Generic,GEN_OVER_IRRIGATION,Over-Irrigation,Physiological,Excessive irrigation,,,,,,,Excess irrigation,,,Poor,Clay,NDVI_marginal,NDWI_elevated,NDRE_low,Any,,3.0,,,,,40.0,80.0,,,Well,15-25,Medium,-0.05,0.0,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndwi"", ""op"": "">"", ""value"": 0.0}, {""field"": ""soil_drainage"", ""op"": ""=="", ""value"": ""Poor""}, {""field"": ""clay_pct"", ""op"": "">"", ""value"": 35}]}",Clay soil + elevated NDWI with no rain = over-irrigation.,Pause all irrigation immediately; allow soil to dry before next application,Today
Generic,GEN_UNDER_IRRIGATION,Under-Irrigation,Physiological,Insufficient irrigation,,,,,,,Insufficient water,,,Any,Sandy,NDVI_declining,NDMI_low,NDRE_declining,Any,5.0,,,,,,40.0,70.0,,,Well,15-25,Medium,-0.1,-0.15,0.2,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 5}, {""field"": ""ndmi"", ""op"": ""<"", ""value"": -0.15}, {""field"": ""sand_pct"", ""op"": "">"", ""value"": 60}]}",Sandy soil + dry days = rapid moisture loss.,Increase irrigation frequency — apply small doses every 2-3 days on sandy soil,Within 2 days
Generic,GEN_IRREGULAR_IRRIG,Irregular Irrigation,Physiological,Irregular water supply,,,,,,,Variable,,,Any,Any,NDVI_variable,NDMI_variable,NDRE_variable,Fruiting,,,,,,,40.0,70.0,,,Well,15-25,Medium,,,,"{""logic"": ""CROP_SPECIFIC"", ""note"": ""BER in tomato/pepper at fruiting""}",Irregular watering causes blossom end rot and fruit cracking.,Switch to consistent scheduled irrigation — boom-bust watering causes BER and fruit cracking,This week
Generic,GEN_N_DEF,Nitrogen Deficiency,Deficiency,Low soil N,,,,,,,,5.5,7.5,Any,Sandy,NDVI_pale_yellow,NDMI_normal,NDRE_very_low,Any,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,0.35,,0.18,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ndre"", ""op"": ""<"", ""value"": 0.2}, {""field"": ""reci"", ""op"": ""<"", ""value"": 1.5}, {""field"": ""ndvi"", ""op"": ""<"", ""value"": 0.4}]}",Yellowing from oldest leaves. NDRE<0.2 + ReCI<1.5 = confirmed N deficiency.,Apply split nitrogen fertiliser — topdress with urea or CAN at 50 kg N/ha; repeat in 3 weeks,Within 1 week
Generic,GEN_P_DEF,Phosphorus Deficiency,Deficiency,Low soil P / acid lockout,,,,,,,,,,Any,Any,NDVI_purple_tinged,NDMI_normal,NDRE_low,Seedling-Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,,"{""logic"": ""OR"", ""conditions"": [{""field"": ""ph"", ""op"": ""<="", ""value"": 5.5}, {""field"": ""ph"", ""op"": "">="", ""value"": 7.5}]}",Purple/red leaf margins. Locked below pH5.5 and above pH7.5.,Apply phosphate fertiliser (TSP or DAP) and adjust soil pH to 6.0-7.0 to unlock P availability,This season
Generic,GEN_K_DEF,Potassium Deficiency,Deficiency,Low soil K,,,,,,,,5.5,7.5,Any,Sandy,NDVI_marginal_scorch,NDMI_low,NDRE_moderate,Fruiting,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""sand_pct"", ""op"": "">"", ""value"": 65}, {""field"": ""cec_mmol_kg"", ""op"": ""<"", ""value"": 10}]}",Marginal leaf scorch. Sandy soils low CEC. Fruiting demand peaks K need.,Apply potassium fertiliser (MOP or SOP) at 50-80 kg K2O/ha; split on sandy soils,Within 1 week
Generic,GEN_CA_DEF,Calcium Deficiency,Deficiency,Ca unavailability / drought,,,,,,,Irregular water,,,Any,Sandy,NDVI_tip_burn,NDMI_low,NDRE_normal,Fruiting,5.0,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,,-0.1,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 5}]}",Blossom end rot in tomato/pepper. Tip burn in lettuce. Ca needs consistent water.,Apply calcium nitrate foliar spray; ensure consistent irrigation to allow Ca movement in plant,Within 3 days
Generic,GEN_MG_DEF,Magnesium Deficiency,Deficiency,Low Mg / leaching,,,,,,,,,,Any,Sandy,NDVI_interveinal_chlorosis,NDMI_normal,NDRE_low,Mid-season,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,0.2,"{""logic"": ""OR"", ""conditions"": [{""field"": ""ph"", ""op"": ""<="", ""value"": 5.5}, {""field"": ""sand_pct"", ""op"": "">"", ""value"": 65}]}",Interveinal chlorosis from older leaves. Sandy acid soils worst.,"Apply magnesium sulphate (Epsom salt) foliar at 2% solution, or kieserite soil application",Within 1 week
Generic,GEN_S_DEF,Sulfur Deficiency,Deficiency,Low soil S / high pH,,,,,,,,7.0,8.5,Any,Any,NDVI_uniform_yellow_young,NDMI_normal,NDRE_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Low,,,0.2,"{""logic"": ""OR"", ""conditions"": [{""field"": ""ph"", ""op"": "">="", ""value"": 7.5}]}",Uniform yellowing of young leaves. Common in high-pH soils.,Apply ammonium sulphate or elemental sulphur at 20-40 kg S/ha,This season
Generic,GEN_FE_DEF,Iron Deficiency / Chlorosis,Deficiency,High pH Fe lockout,,,,,,,,7.5,9.0,Poor,Clay,NDVI_interveinal_chlorosis_young,NDMI_high,NDRE_very_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,0.15,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": "">="", ""value"": 7.5}, {""field"": ""ndre"", ""op"": ""<"", ""value"": 0.2}]}",Alkaline soils lock out Fe. Young leaves yellow between green veins.,Apply chelated iron (EDTA-Fe) foliar spray; check and lower soil pH if above 7.5,Within 1 week
Generic,GEN_ZN_DEF,Zinc Deficiency,Deficiency,Low Zn / high pH / flooded,,,,,,,Flooded,7.0,8.5,Poor,Any,NDVI_small_leaves,NDMI_normal,NDRE_low,Vegetative,,,,,,,40.0,70.0,6.0,7.0,Well,15-25,Medium,,,0.2,"{""logic"": ""OR"", ""conditions"": [{""field"": ""ph"", ""op"": "">"", ""value"": 7.0}, {""field"": ""soil_drainage"", ""op"": ""=="", ""value"": ""Poor""}]}",Little leaf and rosetting. High pH and flooded soils primary triggers.,Apply zinc sulphate foliar at 0.5% solution or 10-20 kg/ha soil application,Within 1 week
Generic,GEN_B_DEF,Boron Deficiency,Deficiency,Low B / high pH / dry,,,,,,,Dry conditions,7.5,9.0,Any,Sandy,NDVI_growing_point_death,NDMI_low,NDRE_low,Reproductive,7.0,,,,,,40.0,70.0,6.0,7.0,Well,15-25,High,,-0.1,,"{""logic"": ""AND"", ""conditions"": [{""field"": ""ph"", ""op"": "">="", ""value"": 7.5}, {""field"": ""consecutive_dry_days"", ""op"": "">="", ""value"": 7}]}",Hollow heart in brassicas. B moves with water; drought blocks uptake.,Apply solubor or borax foliar at 0.1-0.2% solution — critical before flowering,Within 3 days
